[2021-03-06 13:42:29,639] I mainui.py |  Kiwoom  > 동작중
[2021-03-06 13:42:32,024] I mainui.py |  Kiwoom  > 정지
[2021-03-06 14:16:40,946] I mainui.py |  Kiwoom  > 동작중
[2021-03-06 14:16:43,466] I mainui.py |  Kiwoom  > 정지
[2021-03-06 14:31:33,218] I mainui.py |  Kiwoom  > 매수전략 변경 : simpleBuy
[2021-03-06 14:34:46,049] I mainui.py |  Kiwoom  > 매수전략 변경 : simpleBuy
[2021-03-06 14:35:43,385] I mainui.py |  Kiwoom  > 매수전략 변경 : simpleBuy
[2021-03-06 14:36:05,369] I mainui.py |  Kiwoom  > 매수전략 변경 : simpleBuy
[2021-03-06 14:37:28,591] I mainui.py |  Kiwoom  > 매수전략 변경 : simpleBuy
[2021-03-06 14:37:41,264] I mainui.py |  Kiwoom  > 매매전략 변경simpleSell
[2021-03-06 14:37:46,578] I mainui.py |  Kiwoom  > 동작중
[2021-03-06 14:37:48,866] I mainui.py |  Kiwoom  > 정지
[2021-03-06 14:38:39,718] I mainui.py |  Kiwoom  > 매수전략 변경 : simpleBuy
[2021-03-06 14:38:42,038] I mainui.py |  Kiwoom  > 매매전략 변경 : simpleSell
[2021-03-06 14:38:43,584] I mainui.py |  Kiwoom  > 동작중
[2021-03-06 14:38:46,688] I mainui.py |  Kiwoom  > 정지
[2021-03-06 14:45:39,390] I mainui.py |  Kiwoom  > 동작중
[2021-03-06 14:45:42,462] I mainui.py |  Kiwoom  > 정지
[2021-03-06 14:45:47,708] I mainui.py |  Kiwoom  > 매수전략 변경 : simpleBuy
[2021-03-06 14:45:52,627] I mainui.py |  Kiwoom  > 매매전략 변경 : simpleSell
[2021-03-06 14:45:54,462] I mainui.py |  Kiwoom  > 동작중
[2021-03-06 14:45:58,526] I mainui.py |  Kiwoom  > 정지
[2021-03-06 14:48:25,082] I mainui.py |  Kiwoom  > 매수전략 변경 : simpleBuy
[2021-03-06 14:48:27,137] I mainui.py |  Kiwoom  > 매매전략 변경 : simpleSell
[2021-03-06 14:48:28,644] I mainui.py |  Kiwoom  > 동작중
[2021-03-06 14:48:31,236] I mainui.py |  Kiwoom  > 정지
[2021-03-06 14:49:04,556] I mainui.py |  Kiwoom  > 동작중
[2021-03-06 14:49:06,852] I mainui.py |  Kiwoom  > 정지
[2021-03-06 14:49:08,152] I mainui.py |  Kiwoom  > 매수전략 변경 : simpleBuy
[2021-03-06 14:49:09,786] I mainui.py |  Kiwoom  > 매매전략 변경 : simpleSell
[2021-03-06 14:49:11,236] I mainui.py |  Kiwoom  > 동작중
[2021-03-06 14:49:53,241] I mainui.py |  Kiwoom  > 매수전략 변경 : simpleBuy
